folder,name,count,edge,different colors,one color,transparent,inside,overlapping,dark color,open lid,issue
presorted,trial (1).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (10).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (100).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1000).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1001).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1002).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1003).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1004).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1005).jpg,1,False,False,False,False,False,False,True,False,False
presorted,trial (1006).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1007).jpg,1,False,False,False,True,False,False,False,False,False
presorted,trial (1008).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1009).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (101).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1010).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1011).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1012).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1013).jpg,2,False,True,False,False,True,False,False,False,False
presorted,trial (1014).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1015).jpg,2,False,True,False,True,True,False,False,False,False
presorted,trial (1016).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1017).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1018).jpg,1,False,False,False,True,False,False,False,False,False
presorted,trial (1019).jpg,1,False,False,False,False,False,False,True,False,False
presorted,trial (102).jpg,1,False,False,False,True,False,False,False,False,False
presorted,trial (1020).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1021).jpg,2,False,True,False,False,False,True,False,False,False
presorted,trial (1022).jpg,1,False,False,False,True,False,False,False,False,False
presorted,trial (1023).jpg,2,False,True,False,True,True,True,False,False,False
presorted,trial (1024).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1025).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1026).jpg,2,False,True,False,True,True,True,False,False,False
presorted,trial (1027).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1028).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1029).jpg,1,False,False,False,True,False,False,False,False,False
presorted,trial (103).jpg,2,False,True,False,False,False,True,False,False,False
presorted,trial (1030).jpg,1,False,False,False,False,False,False,True,False,False
presorted,trial (1031).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1032).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1033).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1034).jpg,1,False,False,False,True,False,False,False,False,False
presorted,trial (1035).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1036).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1037).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1038).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1039).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (104).jpg,1,False,False,False,False,False,False,True,False,False
presorted,trial (1040).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1041).jpg,1,True,False,False,True,False,False,False,False,False
presorted,trial (1042).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1043).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1044).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1045).jpg,2,False,True,False,True,False,True,False,False,False
presorted,trial (1046).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1047).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1048).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1049).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (105).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1050).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1051).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1052).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1053).jpg,1,False,False,False,False,False,False,False,False,False
presorted,trial (1054).jpg,0,False,False,False,False,False,False,False,False,False
presorted,trial (1055).jpg,1,False,False,False,False,False,False,False,False,False
